occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
away,1700,t90_sw,800,2,625.9,0.368,361.8,5.1,259.0,233.1,0.9918,0.9504,208,219
away,1700,t90_sw,1200,0,938.9,0.552,425.5,513.4,0.0,0.0,0.4532,0.4532,149,329
away,1700,t90_sw,1200,1,938.9,0.552,425.5,239.0,274.3,246.9,0.7454,0.7162,235,329
away,1700,t90_sw,1200,2,938.9,0.552,425.5,82.8,430.6,387.5,0.9118,0.8659,285,329
away,1700,t90_sw,1600,0,1251.8,0.736,470.1,781.7,0.0,0.0,0.3755,0.3755,165,438
away,1700,t90_sw,1600,1,1251.8,0.736,470.1,472.8,308.9,278.1,0.6223,0.5976,262,438
away,1700,t90_sw,1600,2,1251.8,0.736,470.1,252.0,529.7,476.7,0.7987,0.7564,331,438
away,1700,t90_e,400,0,240.9,0.142,222.5,18.4,0.0,0.0,0.9235,0.9235,78,84
away,1700,t90_e,400,1,240.9,0.142,222.5,0.0,18.4,16.6,1.0000,0.9923,84,84
away,1700,t90_e,400,2,240.9,0.142,222.5,0.0,18.4,16.6,1.0000,0.9923,84,84
away,1700,t90_e,800,0,481.8,0.283,321.2,160.7,0.0,0.0,0.6666,0.6666,112,169
away,1700,t90_e,800,1,481.8,0.283,321.2,4.0,156.7,141.0,0.9918,0.9593,162,169
away,1700,t90_e,800,2,481.8,0.283,321.2,0.0,160.7,144.6,1.0000,0.9667,163,169
away,1700,t90_e,1200,0,722.8,0.425,385.5,337.3,0.0,0.0,0.5333,0.5333,135,253
away,1700,t90_e,1200,1,722.8,0.425,385.5,95.8,241.5,217.4,0.8675,0.8341,211,253
away,1700,t90_e,1200,2,722.8,0.425,385.5,4.6,332.7,299.4,0.9936,0.9476,240,253
away,1700,t90_e,1600,0,963.7,0.567,434.3,529.4,0.0,0.0,0.4506,0.4506,152,337
away,1700,t90_e,1600,1,963.7,0.567,434.3,253.1,276.4,248.7,0.7374,0.7087,239,337
away,1700,t90_e,1600,2,963.7,0.567,434.3,72.1,457.3,411.6,0.9252,0.8777,296,337
away,1700,t90_w,400,0,229.7,0.135,207.7,22.0,0.0,0.0,0.9044,0.9044,73,80
away,1700,t90_w,400,1,229.7,0.135,207.7,0.0,22.0,19.8,1.0000,0.9904,80,80
away,1700,t90_w,400,2,229.7,0.135,207.7,0.0,22.0,19.8,1.0000,0.9904,80,80
away,1700,t90_w,800,0,459.3,0.270,320.0,139.3,0.0,0.0,0.6966,0.6966,112,161
away,1700,t90_w,800,1,459.3,0.270,320.0,2.6,136.7,123.0,0.9943,0.9645,155,161
away,1700,t90_w,800,2,459.3,0.270,320.0,0.0,139.3,125.4,1.0000,0.9697,156,161
away,1700,t90_w,1200,0,689.0,0.405,394.3,294.6,0.0,0.0,0.5724,0.5724,138,241
away,1700,t90_w,1200,1,689.0,0.405,394.3,64.2,230.5,207.4,0.9069,0.8734,211,241
away,1700,t90_w,1200,2,689.0,0.405,394.3,3.1,291.5,262.4,0.9955,0.9532,230,241
away,1700,t90_w,1600,0,918.7,0.540,447.9,470.8,0.0,0.0,0.4875,0.4875,157,322
away,1700,t90_w,1600,1,918.7,0.540,447.9,194.3,276.5,248.9,0.7885,0.7584,244,322
away,1700,t90_w,1600,2,918.7,0.540,447.9,43.8,427.0,384.3,0.9523,0.9058,291,322
away,2400,t90_s,400,0,336.5,0.140,289.0,47.5,0.0,0.0,0.8589,0.8589,101,118
away,2400,t90_s,400,1,336.5,0.140,289.0,0.7,46.7,42.0,0.9978,0.9839,116,118
